In-sample error,Post-sample error
71894.01422062656,
25510.4111681059,
-73773.04849139857,
-39802.374122517416,
-106218.96022831951,
-226852.94765405497,
-143156.23663680232,
66551.16173622035,
-7713.991501439596,
74684.7960932604,
119526.06905418076,
-55459.95896829339,
-248524.29655447812,
-239051.45381103968,
53928.35318140709,
139978.87094717822,
10328.569251946174,
-34548.04537465144,
-5292.70303664892,
-178495.2067939944,
-163642.79560363363,
93891.41073332657,
135631.8990003611,
135478.19958388247,
723.3666442888789,
125384.49030945264,
-168198.99959279224,
-93937.97735006316,
33264.255493466975,
55872.57664947561,
36309.62852423289,
79251.50645059277,
125928.71417727089,
-213809.54571188823,
-215746.21728189243,
-18888.244370717788,
38503.0793055282,
8866.925143517321,
155228.02139370097,
-49522.37421180052,
61020.092782332795,
178720.77948750788,
-39320.15336504346,
36473.212506795535,
-188659.94658193248,
-299707.22282958915,
-46285.511346246116,
-161103.5834516359,
-242115.1901006475,
15431.78718187986,
40575.78574207099,
172.04210914601572,
136113.55763105256,
1666.8817326931749,
-36761.82697975403,
-109842.06058636401,
203659.73765847436,
107450.56231492921,
36665.33447990962,
107463.4074514138,
41253.24285033019,
-170400.63210420823,
-175717.05787291657,
58408.913029030664,
30951.813928039046,
175274.0673539322,
143326.08871842758,
31286.404082473833,
-109266.06782314251,
-199330.67133885715,
-7976.645001666853,
116285.84744054824,
112417.9921791472,
103063.45033639995,
80321.95457136608,
,8762.6554377242
,-121772.65085489186
,87790.99679735396
,78213.67480030563
,62476.12804839993
,237179.89092686214
,112749.8533934888
,16732.09997233562
,-74977.04248563317
,320981.67628731695
,266331.55355946394
,335701.40849867766
,351859.00290958374
,148586.84467792814
,64596.73147352412
,1850.8581149387173
,272471.80500670965
,197774.60039281938
,96590.76691468037
,260383.2964276981
,131694.8723598125
,27746.629504850367
,-134477.2243126328
,-98768.50372297969
,-346198.05866503203
,-169032.83155590412
,-192086.44229239505
,-190257.40247023292
,-194439.71092248894
,-126403.56330532348
