ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4415;28;2012;6;4;28;28.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;950408,6454;1422669,58;24;921733,6113;1413523,991;-7,78;2,42;964303,1616;1510881,515;952802,5615;1465479,762;955227,837;1469210,012
4416;29;2012;7;4;29;29.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;791691,5001;1305363,96;24;770276,7111;1221594,101;-3,88;0,02;811122,6804;1321989,195;797506,0378;1266610,163;799536,0196;1269834,208
4417;30;2012;1;5;30;30.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;924594,4843;1699721,12;24;864659,6102;1622591,605;-5,76;0,76;929804,1409;1705357,766;898207,681;1614434,965;900493,99;1618544,368
4418;31;2012;2;5;31;31.01.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1009980,445;1690564,01;24;940134,1075;1615724,233;-9;-2,96;1005275,522;1676327,82;957326,1815;1563672,751;959762,9715;1567652,943
4419;32;2012;3;5;1;1.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1067824,148;1792731,09;24;1017206,606;1696306,372;-6,08;-2,52;1049844,738;1751563,193;1001675,644;1715603,621;1004225,322;1719970,539
4420;33;2012;4;5;2;2.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1088024,734;1789395,89;24;1021941,295;1686902,165;-7,74;-3,66;1062900,768;1727484,7;1027595,954;1696709,489;1030211,61;1701028,315
4421;34;2012;5;5;3;3.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;997081,3112;1646200,77;24;935351,2405;1536152,122;-10,5;-6,52;955568,8632;1551855,905;934071,0704;1533482,742;936448,6666;1537386,088
4422;35;2012;6;5;4;4.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1078750,493;1683372,11;24;991286,4366;1483859,673;-8,92;-6,16;985936,1203;1473887,462;979158,4005;1507456,611;981650,7625;1511293,709
4423;36;2012;7;5;5;5.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;928146,1826;1467172,63;24;828091,1093;1365380,689;-12,16;-5,28;813618,3055;1246420,967;818767,8074;1314596,247;820851,9092;1317942,436
4424;37;2012;1;6;6;6.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;911932,304;1602981,75;24;819743,5634;1506969,237;-11,42;-6,18;757314,0478;1282721,175;788508,4953;1417277,836;790515,5746;1420885,392
4425;38;2012;2;6;7;7.02.2012;0;0;1;1;8665;-0,4;-0,2;0;0;1132149,614;1814561,23;24;1031243,191;1726154,828;-8,84;-3,76;868291,3775;1363387,37;959164,6926;1589848,168;961606,1624;1593894,987
4426;39;2012;3;6;8;8.02.2012;1;0;0;1;8665;-0,4;-0,2;0;0;964296,4655;1371018,48;24;916818,7125;1539213,558;-13,18;-0,64;778851,957;1426849,185;849798,3092;1471973,467;851961,3964;1475720,246
4427;40;2012;4;6;9;9.02.2012;0;1;0;1;8665;-0,4;-0,2;0;0;1069521,373;1793319,38;24;1088024,734;1789395,887;-15,44;-0,44;985076,4588;1644645,369;1024188,425;1690991,904;1026795,407;1695296,176
4428;41;2012;5;6;10;10.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1033443,495;1644871,6;24;1008284,472;1664697,411;-9,4;-5,26;909889,083;1507475,52;932091,444;1534905,897;934464,0012;1538812,866
4429;42;2012;6;6;11;11.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1035225,938;1616851,95;24;1034265,936;1613954,708;-9;-6,32;906760,0812;1411890,242;926382,7278;1418930,397;928740,7539;1422542,16
4430;43;2012;7;6;12;12.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;903691,7066;1420538,8;24;877149,1396;1386558,753;-8,84;-4,56;750628,2616;1242366,836;758610,3975;1217867,288;760541,3738;1220967,262
4431;44;2012;1;7;13;13.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;958134,852;1660578,41;24;954347,76;1677539,043;-9,74;-0,12;820307,097;1524919,869;817364,394;1463666,067;819444,9235;1467391,701
4432;45;2012;2;7;14;14.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1019459,32;1621624,54;24;1027104,804;1646199,878;-13,6;2,34;891579,2424;1537313,008;864889,4555;1433529,659;867090,9559;1437178,584
4433;46;2012;3;7;15;15.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1004956,436;1590969,65;24;986985,7941;1403277,74;-11,5;4,48;889611,975;1520149,799;869165,8382;1494451,734;871378,2238;1498255,73
4434;47;2012;4;7;16;16.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;987540,8928;1558553,2;24;960386,5392;1610327,602;-5,14;7,12;920038,2488;1527289,966;921205,56;1506649,276;923550,4081;1510484,32
4435;48;2012;5;7;17;17.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;1002199,644;1577588,92;24;1033443,495;1644871,599;-8,82;9,18;920079,657;1527949,683;932882,709;1525054,764;935257,2803;1528936,657
4436;49;2012;6;7;18;18.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;967317,2376;1409220,23;24;1024094,476;1599466,442;-6,26;9,44;917140,226;1416396,736;923600,972;1421310,628;925951,9174;1424928,45
4437;50;2012;7;7;19;19.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;910573,7842;1404820,77;24;1019280,181;1602235,621;-5,62;9,12;853023,5581;1391046,241;866333,8399;1412607,569;868539,0169;1416203,238
4438;51;2012;1;8;20;20.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;862337,9765;1548286,68;24;968780,7948;1679029,279;0,16;4,58;848573,1072;1540625,659;847849,821;1555100,526;850007,9485;1559058,898
