In-sample error,Post-sample error
-44793.324598311214,
-40436.74483566801,
14882.216172825312,
35953.15947381989,
46098.95225503016,
26240.184456184274,
34934.73801659816,
9450.290689310525,
1650.1555025787093,
7601.464287806302,
-4162.29331947118,
11061.705631813267,
-6968.944562264252,
11778.3898377656,
-80061.67255364568,
-47461.927860225784,
12404.697075665928,
6861.73207884375,
23666.55486414046,
42272.95078912168,
11680.421475447947,
135178.57761476003,
137000.18249081075,
286183.74688791693,
324944.0338602485,
-244175.12162553286,
-288623.37643265,
-109391.476890133,
-39191.158488538815,
-46191.2468636313,
15154.132975706598,
25866.387735611992,
40890.36129673128,
56811.86224279925,
17489.939137952635,
9531.849054647377,
5580.563226841856,
22774.060114887077,
-10361.68292792025,
-15773.21529292618,
-6529.034422362922,
-24349.418108541053,
-78622.17011437542,
-73476.95843282412,
-31375.385213442612,
-40925.18087725411,
-34486.003994172206,
-15742.198888240615,
-29915.41195669491,
-65233.03445944027,
-54393.559663067805,
-6515.97416194994,
-20468.171037663007,
-22049.80517403898,
-15376.777772140224,
2918.154257444432,
,24179.585168554913
,70448.18046704168
,103246.4393642575
,82831.03542393702
,40035.3473176558
,102451.22120461287
,87091.16172550386
,149930.26572266966
,88108.64783913316
,198155.62148962403
,193807.12033209507
,220659.0351941483
,206270.64975945116
,156341.24512532307
,136043.21437830478
,101724.60446492466
,79771.94263139507
,48097.00127340155
,38924.20067738462
,89933.89673671918
,79657.05468563782
,40130.62384241307
,132663.82100296696
,123070.92658159393
,-188058.95496046077
,-155230.9948311285
,-29503.033762166277
,-4347.336816544877
,-61077.62683735252
,121793.97303972463
